Altium Designer Pick and Place Locations
D:\LocalRepo\ImbueLight\imbuelight-stair-controller\hardware\imbuelight_move_detection_ver_1.0\Project Outputs for imbuelight_move_detection_ver_2.0\Pick Place\Pick Place for imbuelight_move_detection — panel.csv

========================================================================================================================
File Design Information:

Date:       02.08.23
Time:       12:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","29.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","22.0000","27.0000","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","22.9404","29.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","22.9410","27.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","13.7310","18.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","24.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","25.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","13.7310","21.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","13.6231","15.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","22.0000","11.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","26.4970","19.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","27.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","22.0000","16.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","31.1960","12.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","22.0000","17.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","24.5498","16.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
